Publication number,Title,Publication date,Inventors,country_name,Title_language,country_code,Applicants,Family number,ABSTRACT
CA2364536A1,"FRAGMENTS OF VIRUS PROTEIN 2 OR 3 OF POLYOMA VIRUS, AS VEHICULES FOR ACTIVE SUBSTANCES",19/10/2000,REISER CHRISTIAN [DE]  WALTER JURGEN [DE]  BERTLING WOLF [DE],Canada,de,CA,NOVEMBER AG MOLEKULARE MEDIZIN [DE],7904139,fragments virus protein polyoma virus vehicules active substances
EP0918793A1  EP0918793B1,"INACTIVATING PROCESS FOR LIPID ENVELOPPED VIRUS, AND NEW ANTIVIRUS LIPOPEPTIDES",1999-06-02  2002-04-17,VOLLENBROICH DIRK [DE]  VATER JOACHIM [DE]  PAULI GEORG [DE]  KAMP ROZA MARIA [DE],European Patent Office (EPO),de,EP,VOLLENBROICH DIRK [DE]  VATER JOACHIM [DE]  PAULI GEORG [DE]  KAMP ROZA MARIA [DE],7803223,inactivating process lipid envelopped virus new antivirus lipopeptides
CN1903372A,"Three gene combination DNA vaccine for avian infectious bronchitis, and application thereof",31/01/2007,WANG HONGNING ZHOU [CN],China,en,CN,SICHUAN AGRICULTURE UNIV [CN],37672833,three gene combination dna vaccine avian infectious bronchitis application thereof
EP0510996A1  EP0510996B1,Recombinant varicella-zoster virus vector.,1992-10-28  1998-09-16,SHIRAKI KIMIYASU [JP]  TAKAHASHI MICHIAKI [JP],European Patent Office (EPO),ca,EP,UNIV OSAKA RES FOUND [JP],16272939,recombinant varicellazoster virus vector
CN100475963C  CN1990869A,"Chicken infectivity bursa of Fabricius virus VP2 cDNA, its expression vector, expressed recombinant protein and application thereof",2007-07-04  2009-04-08,WANG XIAOMEI GAO [CN]  XIAOMEI WANG [CN]  HONGLEI GAO [CN]  CHAOYANG FU [CN]  YULONG GAO [CN],China,en,CN,VETERINARY RES INST CAAS [CN]  HARBIN VET RES INST CAAS [CN],38213406,chicken infectivity bursa fabricius virus vp cdna expression vector expressed recombinant protein application thereof
US2005170336A1  US7488593B2,"Multifunctional biomaterials as scaffolds for electronic, optical, magnetic, semiconducting, and biotechnological applications",2005-08-04  2009-02-10,BELCHER ANGELA M [US]  PEELLE BEAU R [US]  NAM KI T [US]  PEELLE BEAU [US]  NAM KI TAE [US],United States of America,en,US,MASSACHUSETTS INST TECHNOLOGY [US]  UNIV TEXAS [US]  MASSACHUSETTS INST TECHNOLOGY,34465188,multifunctional biomaterials scaffolds electronic optical magnetic semiconducting biotechnological applications
CN215211444U,Anti-poison and anti-explosion floor drain for civil air defense engineering,17/12/2021,YU JINGBO  ZHAO MIN  SUN LEI  YAN ZIXIANG,China,en,CN,SICHUAN JIANT CIVIL AIR DEFENSE ENG EQUIPMENT CO LTD,79425372,antipoison antiexplosion floor drain civil air defense engineering
CN101314036A,"Genetic engineering polypeptide vaccine against livestock foot and mouth disease virus, and preparation method thereof",03/12/2008,MINGQIU LIU [CN]  WEIYAO YAN [CN]  ZHAOXIN ZHENG [CN]  YE JIAO [CN],China,en,CN,UNIV FUDAN [CN],40105281,genetic engineering polypeptide vaccine livestock foot mouth disease virus preparation method thereof
US10221398B2  US2016186147A1,COMPOSITIONS OF AND METHODS FOR IN VITRO VIRAL GENOME ENGINEERING,2016-06-30  2019-03-05,CADY KYLE C [US]  BARBU E MAGDA [US]  DIPETRILLO CHRISTEN G [US],United States of America,de,US,SYNTHETIC GENOMICS INC [US]  C3J THERAPEUTICS INC [US],56127485,compositions methods vitro viral genome engineering
CN112353939A  CN112353939B,Application of GTPBP4 protein as immunosuppressant and construction of knockdown or overexpression GTPBP4 cell line,2021-02-12  2022-04-22,ZHENG HAIXUE  LIU HUISHENG  XUE QIAO  TANG WENDA  ZHU ZIXIANG  XUE ZHAONING  CAO WEIJUN  YANG FAN  LIU XIANGTAO,China,en,CN,LANZHOU VETERINARY RES INST CAAS,74509649,application gtpbp protein immunosuppressant construction knockdown overexpression gtpbp cell line
CN101293099A  CN101293099B,Polypeptide vaccine for resisting multiple hypotype avian influenza viruses and preparation method thereof,2008-10-29  2010-12-08,LIANG CHEN [CN]  GUOGUANG ZHANG [CN]  HUIHUANG ZHANG [CN]  DONGXIAO LI [CN]  YAMING ZENG [CN]  HONGXIN ZHANG [CN]  XIAOLING GUO [CN]  GUOGUANG ZHANG  YAMING ZENG  HUIHUANG ZHANG  XIAOLING GUO  DONGXIAO LI  LIANG CHEN  HONGXIN ZHANG,China,en,CN,UNIV XIAMEN [CN]  UNIV XIAMEN,40063808,polypeptide vaccine resisting multiple hypotype avian influenza viruses preparation method thereof
EP0517292A1  EP0517292B1,Recombinant Avipox virus.,1992-12-09  2000-02-02,THIRY GEORGES [BE]  COLAU DIDIER [BE]  DE WANNEMAEKER CATHERINE [BE]  MALARME DANIEL [BE]  THIRY GEORGES [US],European Patent Office (EPO),ca,EP,SOLVAY [BE]  DIMMINACO AG [CH],3885526,recombinant avipox virus
CN117467705A,Efficient BaEV envelope virus packaging method,30/01/2024,HUANG YUKANG  CHEN YUNFAN  SHEN JUNJIE  XU YANMIN  HONG JUAN,China,en,CN,CHONGQING PREC BIOTECH CO LTD  CHONGQING PRECISION BIOLOGICAL INDUSTRIAL TECH RESEARCH INSTITUTE CO LTD,89629851,efficient baev envelope virus packaging method
CN1216231A,Preparation and composition of active engineering fly powder beverage,12/05/1999,XIAO JIE [CN],China,en,CN,XIAO JIE [CN],5171092,preparation composition active engineering fly powder beverage
CN108484736A,Method for expressing truncated non-structural protein NS2A of Tembusu virus and product and application thereof,04/09/2018,CHEN SHUN  JIANG BOWEN  ZHANG WEI  CHENG ANCHUN  WANG MINGSHU,China,en,CN,UNIV SICHUAN AGRICULTURAL,63340211,method expressing truncated nonstructural protein nsa tembusu virus product application thereof
CN111533811A  CN111533811B,Novel genetic engineering vaccine for avian encephalomyelitis virus,2020-08-14  2020-12-11,CAO WENLONG  KONG DI  TENG XIAONUO  YI XIAOPING  ZHANG DAHE,China,en,CN,SUZHOU SHINUO BIOTECHNOLOGY CO LTD,71968664,novel genetic engineering vaccine avian encephalomyelitis virus
DE10105420A1  DE10105420B4,In vitro Zellinteraktionskultursystem für Medikamententestung und -entwicklung,2002-08-14  2006-03-30,HAEUPL THOMAS [DE]  KAPS CHRISTIAN [DE]  SITTINGER MICHAEL [DE]  SMOLIAN HEIKE [DE],Germany,de,DE,HAEUPL THOMAS [DE]  KAPS CHRISTIAN [DE]  SITTINGER MICHAEL [DE]  SMOLIAN HEIKE [DE]  TRANSTISSUE TECHNOLOGIES GMBH [DE]  OLIGENE GMBH [DE],7673081,vitro zellinteraktionskultursystem fr medikamententestung und entwicklung
CN1396178A,Engineered polypeptide resisting infection of coated virus (hepatitis B virus) and its preparing process,12/02/2003,QIU XIAOQING [CN],China,en,CN,YANGHUI BIOTECHNOLOGY CO LTD C [CN],4742855,engineered polypeptide resisting infection coated virus hepatitis b virus preparing process
CN110279855A  CN110279855B,Novel genetic engineering vaccine of porcine Seneca virus as well as preparation method and application of novel genetic engineering vaccine,2019-09-27  2020-04-03,CAO WENLONG  KONG DI  TENG XIAONUO  YI XIAOPING  ZHANG DAHE,China,en,CN,SUZHOU SHINUO BIOTECHNOLOGY CO LTD,68023398,novel genetic engineering vaccine porcine seneca virus well preparation method application novel genetic engineering vaccine
CN104498622A  CN104498622B,"Primers, probes, and method used for influenza virus typing",2015-04-08  2016-08-24,WANG HUALIN  ZHANG TAO  DENG FEI  LI YI  YANG JUAN,China,en,CN,HUBEI XINZONGKE VIRUS DISEASE ENGINEERING TECHNOLOGY CO LTD,52940072,primers probes method used influenza virus typing
CN1283788C  CN1513987A,Recombination pseudorabies virus for expressing pig breeding and respiration comproehensive oyndrome virus and application,2004-07-21  2006-11-08,QIU HUAJI [CN]  TIAN ZHIJUN [CN]  TONG GUANGZHI [CN]  QIU HUAJI TIAN [CN],China,en,CN,HARBIN INST OF VETERINARIAN CH [CN],34239858,recombination pseudorabies virus expressing pig breeding respiration comproehensive oyndrome virus application
CN101716340A,Establishment of method for preparing recombinant protein vaccine of type A H1N1 influenza virus,02/06/2010,QUANGAO HUA  HEXIAO SHEN,China,en,CN,WUHAN CUSABIO ENGINEERING CO L,42431037,establishment method preparing recombinant protein vaccine type hn influenza virus
EP0308724A2  EP0308724A3  EP0308724B1,Use of a immunistimulating biologic to manufacture a medicament to treat human immunodeficiency virus.,1989-03-29  1990-01-31  1992-05-20,STOUT ROBERT L,European Patent Office (EPO),en,EP,CLINICAL BIOTECHNOLOGIES INC [US],22275565,use immunistimulating biologic manufacture medicament treat human immunodeficiency virus
CN101173290A  CN101173290B,"Chemically synthesized HSV1 virus gB glucoprotein extracellular region gene fragment, representation and application of the same",2008-05-07  2010-10-27,YUEXI LI [CN]  MIN LU [CN]  MINGJIE PAN [CN]  HUAFENG YANG [CN]  JING QI [CN]  ZHENGMAO WANG [CN]  YUEXI LI  JING QI  MIN LU  HUAFENG YANG  MINGJIE PAN  ZHENGMAO WANG,China,en,CN,YUEXI LI [CN]  YUEXI LI,39422041,chemically synthesized hsv virus gb glucoprotein extracellular region gene fragment representation application
CN106866797A,"Specific antigen epitope for avian leukosis virus subgroup J, fusion protein, specific antibody and application thereof",20/06/2017,WANG YONGQIANG  CAO HONG  LI XIAOQI  ZHENG SHIJUN  CHEN FUYONG,China,en,CN,UNIV CHINA AGRICULTURAL,59172809,specific antigen epitope avian leukosis virus subgroup j fusion protein specific antibody application thereof
CN1146661C  CN1332244A,Morbillivirus L4 strain hemagglutinin gene,2002-01-23  2004-04-21,RUAN LI [CN]  ZHU JIMING [CN]  YANG KEJIAN [CN],China,it,CN,INST OF VIROLOGY CHINESE ACADE [CN],4590574,morbillivirus l strain hemagglutinin gene
CN1185341C  CN1405309A,Method for preparing medicine using silkworm expressed human beta interferon,2003-03-26  2005-01-19,ZHANG YAOZHOU [CN]  JIN YONGFENG [CN]  WU XIANGFU [CN],China,en,CN,ZHONGQI BIOLOG PHARMACEUTICAL [CN]  ZHEJIANG ZHONGQI BIOLOG PHARMA [CN],4665519,method preparing medicine using silkworm expressed human beta interferon
CN106188248A,Preparation method of EB (Epstein-Barr) virus antigen and quick detection kit for detecting EB virus antibody prepared from antigen,07/12/2016,XU FEIFEI  ZENG CHAONING  FAN LIYUN  LI KESHENG  DU HUIFEN,China,en,CN,LANZHOU YAHUA BIOLOGICAL TECH CO LTD,57495019,preparation method eb epsteinbarr virus antigen quick detection kit detecting eb virus antibody prepared antigen
EP0677114A1  EP0677114A4  EP0677114B1,RECOMBINANT SWINEPOX VIRUS.,1995-10-18  1995-07-13  2003-04-02,COCHRAN MARK D [US]  JUNKER DAVID E [US],European Patent Office (EPO),de,EP,SYNTRO CORP [US],25230024,recombinant swinepox virus
CN101717785A  CN101717785B,Method for obtaining high antiviral potato plant with gene engineering technology,2010-06-02  2012-01-18,GUOPING CHEN  LEI DENG  JIANGE GAO  ZONGLI HU  XIANGHUA WU  CHENMING ZHANG,China,en,CN,UNIV CHONGQING,42432424,method obtaining high antiviral potato plant gene engineering technology
CN214209201U,一种人防工程通风防毒装置,17/09/2021,,China,zh-cn,CN,,77694528,
CN110327462A,Liposome vaccine and preparation method thereof,15/10/2019,LIU BAOQUAN  LI LIN  LI GUIXING  LI CHUNBIN  WANG JIANFENG  QUAN CHUNSHAN,China,en,CN,UNIV DALIAN MINZU,68143881,liposome vaccine preparation method thereof
CN102382803A,Construction method of novel gene engineering recombinant virus for expressing gp64 gene,21/03/2012,HUALIN WANG  MANLI WANG  YINGYING GAN  FEI DENG  ZHIHONG HU,China,en,CN,WUHAN INST VIROLOGY CAS,45822637,construction method novel gene engineering recombinant virus expressing gp gene
WO2020140600A1,"CROSS-BARRIER FOCUS-TARGETING DRUG DELIVERY SYSTEM, CARRIER SYSTEM AND HOST CELL SYSTEM",09/07/2020,REN MING [CN]  BI SHENGLI [CN]  ZHANG LIPING [CN]  CAO JIANRONG [CN],World Intellectual Property Organization (WIPO),de,WO,BEIJING DIRECTION BIOTECH CO LTD [CN],65797415,crossbarrier focustargeting drug delivery system carrier system host cell system
WO2023055255A1,CRISPR-CAS14 SYSTEM FOR DETECTING SARS-COV-2 VIRUS RNA AT ULTRA-LOW CONCENTRATIONS,06/04/2023,TIUMENTSEV ALEKSANDR IGOREVICH [RU]  TIUMENTSEVA MARINA ALEKSEEVNA [RU]  AKIMKIN VASILIY GENNADEVICH [RU]  PRELOVSKAYA ANNA NIKOLAEVNA [RU],World Intellectual Property Organization (WIPO),de,WO,FEDERALNOE BIUDZHETNOE UCHREZHDENIE NAUKI TSENTRALNYI NAUCHNO ISSLEDOVATELSKII INST EPIDEMIOLOGII FE [RU],80040285,crisprcas system detecting sarscov virus rna ultralow concentrations
CN108690835A  CN108690835B,Type I bovine herpes virus gE defect virus strain and obtaining method thereof,2018-10-23  2021-08-31,WEN YONGJUN  YANG YANG  HE FANG  WEN YONGSHENG  YUE YING,China,en,CN,INNER MONGOLIA YUANSHAN BIOLOGICAL TECH CO LTD,63848541,type bovine herpes virus ge defect virus strain obtaining method thereof
CN114438113A,Recombinant rabies virus glycoprotein lactococcus lactis vector as well as construction method and application thereof,06/05/2022,WANG XIAOHU  CHEN JING  ZHANG PIAN  WANG YANYUN  HUANG YUAN  XIANG HUA  WANG GANG,China,en,CN,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES INST OF ANIMAL HEALTH,81358693,recombinant rabies virus glycoprotein lactococcus lactis vector well construction method application thereof
CN106834348A  CN106834348B,Fluorescently-labeled porcine reproductive and respiratory syndrome virus and building method and application thereof,2017-06-13  2020-05-08,WANG CHENGBAO,China,en,CN,UNIV NORTHWEST A&F,59130005,fluorescentlylabeled porcine reproductive respiratory syndrome virus building method application thereof
CN217817282U,Anti-poison air purification device for civil air defense engineering,15/11/2022,ZHANG SHENG,China,fr,CN,SHANXI ANDHRA SWISS CIVIL DEFENSE EQUIPMENT CO LTD,83967038,antipoison air purification device civil air defense engineering
CN104056254A,Composition for reducing recurrence rate of hepatitis patients,24/09/2014,CHEN YIXIONG  LI QINGYUAN  CHEN DEFANG  YE ZHAOTING  CUMMINSMARTINJ,China,en,CN,SAIDE PHARMACEUTICAL CO LTD  AIMARUILUO BIOTECHNOLOGY CO LTD,51544370,composition reducing recurrence rate hepatitis patients
EP0463848A2  EP0463848A3,"Non-A, non-B hepatitis virus particles.",1992-01-02  1992-03-04,OKAYAMA HIROTO [JP]  FUKE ISAO [JP]  MORI CHISATO [JP]  TAKAMIZAWA AKIHISA [JP]  YOSHIDA IWAO [JP],European Patent Office (EPO),en,EP,UNIV OSAKA RES FOUND [JP],27552783,nona nonb hepatitis virus particles
CN105695421A  CN105695421B,Long-acting recombinant rabies virus vaccine strain and preparation method thereof,2016-06-22  2019-04-09,ZHAO LING  LI YINGYING  CUI MIN  FU ZHENFANG  ZHOU MING,China,en,CN,UNIV HUAZHONG AGRICULTURAL,56220493,longacting recombinant rabies virus vaccine strain preparation method thereof
CN114480455A  CN114480455B,"Functional gene segment for reducing blood uric acid level, recombinant strain and application",2022-05-13  2023-10-13,HU YANGBO  HE LINA  CHEN SHIYUN  TANG WEI,China,en,CN,WUHAN VIRUS INST OF CHINESE ACADEMY OF SCIENCES,81512435,functional gene segment reducing blood uric acid level recombinant strain application
CN110684681A  CN110684681B,Engineering bacterium for producing chicken alpha-interferon and application of engineering bacterium,2020-01-14  2022-11-11,GUO HAIYAN  LIU GANG  WANG XINGYE  HAN GUOYING  MIAO YUHE  HAN FAJIE  WANG HONGJUN  SUN XIULI,China,en,CN,SHANDONG XIANPUAIRUI SCIENCE AND TECH CO LTD,69115294,engineering bacterium producing chicken alphainterferon application engineering bacterium
CN1963512A,Chemiluminescence method for qualitative and quantitative detection of hepatitis B virus,16/05/2007,FU GUANGYU LI [CN],China,en,CN,ZHENGZHOU AUTOBIO DIAGNOSTICS [CN],38082654,chemiluminescence method qualitative quantitative detection hepatitis b virus
CN103992408A,Preparation of blue ear disease protein engineering vaccine,20/08/2014,LI DIANMING  PU QIN  LI YI  QI CHUNMEI  TIAN CHUNHUI  REN BAILIANG  ZHANG DAOCHUN  LIU TIANTIAN  GU FUXIANG,China,en,CN,QINGDAO BAOMAIDE BIOLOG MEDICAL TECHNOLOGY CO LTD,51306769,preparation blue ear disease protein engineering vaccine
CN103585625A  CN103585625B,"Porcine epidemic diarrhea recombinant baculovirus gene engineering subunit vaccine, preparation method and application thereof",2014-02-19  2015-12-02,HUANG YUMAO  TAN BOMIN  XIANG LINSHENG,China,en,CN,UNIV SOUTH CHINA AGRICULT,50076075,porcine epidemic diarrhea recombinant baculovirus gene engineering subunit vaccine preparation method application thereof
EP0621339A2  EP0621339A3  EP0621339B1,Immunogenic human influenza A virus haemagglutinin polypeptides.,1994-10-26  1995-11-29  2001-10-24,OKUNO YOSHINOBU [JP]  ISEGAWA YUIJI [JP]  SASAO FUYOKO [JP]  UEDA SHIGEHARU [JP],European Patent Office (EPO),en,EP,TAKARA SHUZO CO [JP],27300262,immunogenic human influenza virus haemagglutinin polypeptides
CN110003343A  CN110003343B,Bovine infectious rhinotracheitis virus multi-epitope recombinant chimeric protein and application thereof,2019-07-12  2022-09-02,RAN XUHUA  WEN XIAOBO  TONG XIAODAN  FAN CHUNLING  ZHANG XU  NI HONGBO  BI YING,China,en,CN,UNIV HEILONGJIANG BAYI AGRICULTURAL,67166041,bovine infectious rhinotracheitis virus multiepitope recombinant chimeric protein application thereof
CN111676247A,"Construction, rescue and application of infectious clone of porcine reproductive and respiratory syndrome virus type 1 isolate",18/09/2020,CHEN NANHUA  LI SHUBIN  ZHU JIANZHONG,China,en,CN,UNIV YANGZHOU,72437492,construction rescue application infectious clone porcine reproductive respiratory syndrome virus type isolate
CN106866798A  CN106866798B,"Specific antigen epitope for avian leukosis virus subgroup J, fusion protein, specific antibody and application thereof",2017-06-20  2020-02-14,WANG YONGQIANG  CAO HONG  LI XIAOQI  ZHENG SHIJUN  CHEN FUYONG,China,en,CN,UNIV CHINA AGRICULTURAL,59172868,specific antigen epitope avian leukosis virus subgroup j fusion protein specific antibody application thereof
CN104195119A  CN104195119B,"Virus-like particle for resisting to infectious spleen and kidney necrosis virus, vaccine and preparation method of virus-like particle",2014-12-10  2018-04-10,CAO YONGCHANG  XUE CHUNYI  LIU DACAI,China,en,CN,UNIV SUN YAT SEN,52080488,viruslike particle resisting infectious spleen kidney necrosis virus vaccine preparation method viruslike particle
CN102250224A  CN102250224B,Duck plague virus gG truncated recombinant protein and preparation method thereof,2011-11-23  2013-06-05,ANCHUN CHENG  XIAOYUAN YANG  MINGSHU WANG  XIAOYUE CHEN  CHENG ANCHUN  YANG XIAOYUAN  WANG MINGSHU  CHEN XIAOYUE,China,en,CN,SICHUAN AGRICULTURE UNIVERSITY CT OF EXPERIMENT ANIMALS ENGINEERING TECHNOLOGY,44977824,duck plague virus gg truncated recombinant protein preparation method thereof
CN117025636A,Application of tobacco expansin gene NtEXPA11 in resisting potato Y virus infection,10/11/2023,XIA ZIHAO  XU CHUANTAO  GUO HUIYAN  DING ANMING  XIE QIANG  ZHANG YONGHUI  ZHANG MINGJIN  WANG BIN  AN MENGNAN  WU YUANHUA,China,en,CN,UNIV SHENYANG AGRICULTURAL  SICHUAN TOBACCO CO LTD LUZHOU CO LTD  TOBACCO RES INST CAAS,88624837,application tobacco expansin gene ntexpa resisting potato virus infection
CN117230027A,African swine fever virus attenuated strain as well as preparation method and application thereof,15/12/2023,GAO FU  PENG GUORUI  ZOU XINGQI  ZHAO QIZU  ZHAO XIN  LIU YEBING  ZHAO JUNJIE  ZHU YUANYUAN,China,en,CN,INST MICROBIOLOGY CAS  CHINA INST VETERINARY DRUGS CONTROL,89082187,african swine fever virus attenuated strain well preparation method application thereof
CN101017172A,Method for measuring all-core antigen of hepatitis C virus,15/08/2007,LIU JUN WANG [CN],China,en,CN,HUNAN JYNDA BIOENGINEERING CO [CN],38726319,method measuring allcore antigen hepatitis c virus
FR2601689A1  FR2601689B1,"Attenuated herpes viruses, herpes viruses containing foreign DNA which encodes an amino acid sequence, and vaccines containing them",1988-01-22  1992-10-16,COCHRAN MARK  SHIH MENG-FU  MCCONNELL WILLIAM  RICHARD M,France,en,FR,SYNTRO CORP [US],27420523,attenuated herpes viruses herpes viruses containing foreign dna encodes amino acid sequence vaccines containing
CN117106076A,Senecavirus-resistant swine single-chain genetically engineered antibody as well as preparation method and application thereof,24/11/2023,MA XUEQING  SUN PU  LU ZENGJUN  LI KUN  LEE PYUNG-HWA  CAO YIMEI  FU YUANFANG  LI DONG  ZHANG JING  ZHAO ZHIXUN  YUAN HONG  LIU ZAIXIN,China,en,CN,LANZHOU VETERINARY RES INST CAAS,88813130,senecavirusresistant swine singlechain genetically engineered antibody well preparation method application thereof
CN114836454A,Modified gosling plague virus Cap protein as well as preparation method and application thereof,02/08/2022,WANG SHANPU  ZHANG LIMING  GENG YUJING  ZHANG FEIYANG,China,en,CN,LUOYANG WOPUSEN BIOLOGICAL ENG CO LTD,82562565,modified gosling plague virus cap protein well preparation method application thereof
CN1903878A  CN1903878B,Anti SARS virus human source nature antibody IgG Fab section,2007-01-31  2011-09-07,LIU JINYE HU [CN]  JINYE LIU  GENGXI HU  XIAOLI YANG  XUNJIA CHENG,China,en,CN,UNIV FUDAN [CN]  UNIV FUDAN,37673257,anti sars virus human source nature antibody igg fab section
WO2007016715A2  WO2007016715A3,IMMUNE RESPONSE INDUCING PREPARATIONS,2007-02-15  2007-04-12,SACHET MONIKA [AT]  BERGMANN MICHAEL [AT]  MUSTER THOMAS [AT]  EGOROV ANDREJ [AT],World Intellectual Property Organization (WIPO),en,WO,GREENHILLS BIOTECHNOLOGY RES D [AT]  SACHET MONIKA [AT]  BERGMANN MICHAEL [AT]  MUSTER THOMAS [AT]  EGOROV ANDREJ [AT],37603079,immune response inducing preparations
JPH03244379A  JPH0728735B2,METHOD FOR PREPARING ALDOSE REDUCTASE BY GENETIC ENGINEERING METHOD,1991-10-31  1995-04-05,NISHIMURA CHIHIRO,Japan,de,JP,NISHIMURA CHIHIRO,12618597,method preparing aldose reductase genetic engineering method
WO2017068077A1,METHODS AND PRODUCTS FOR GENETIC ENGINEERING,27/04/2017,OHLMANN THÉOPHILE [FR]  MANGEOT PHILIPPE [FR]  RICCI EMILIANO [FR],World Intellectual Property Organization (WIPO),de,WO,INST NAT DE LA SANTE ET DE LA RECH MEDICALE (INSERM) [FR]  CENTRE NAT DE LA RECH SCIENT (CNRS) [FR]  ECOLE NORMALE SUPERIEURE LYON [FR]  UNIV CLAUDE BERNARD LYON [FR],55024029,methods products genetic engineering
CN114317574A  CN114317574B,Cultivation and application of Marc-145 cell adaptive type 1 porcine reproductive and respiratory syndrome virus,2022-04-12  2023-12-08,CHEN NANHUA  LI SHUBIN  ZHU JIANZHONG,China,en,CN,UNIV YANGZHOU,81014620,cultivation application marc cell adaptive type porcine reproductive respiratory syndrome virus
CN1132247A,Establishment and application of GP125 gene engineering strain containing EB virus shell albumen,02/10/1996,SHUYAN GU [CN]  GUOHUA PI [CN],China,en,CN,GU SHUYAN [CN],5082276,establishment application gp gene engineering strain containing eb virus shell albumen
CN104004671A,Saccharomyces cerevisiae engineering bacterium expressing hepatitis B surface antigen and construction method and application thereof,27/08/2014,CHEN JIAN  DU GUOCHENG  KANG ZHEN  QIAN JUNJIA  QIU LING,China,en,CN,UNIV JIANGNAN  SYSMEX WUXI CO LTD,51365581,saccharomyces cerevisiae engineering bacterium expressing hepatitis b surface antigen construction method application thereof
CN101402960A  CN101402960B,Recombinant rubella virus E1 protein and uses thereof,2009-04-08  2011-05-11,LIXIA WU [CN]  YUHONG ZHAO [CN]  TING YU [CN]  HONG BAO [CN]  GUIQUAN WANG [CN]  FENGDI LI [CN]  HE JIANG [CN]  YAJUN DONG [CN]  TIANXUE XU [CN]  YAJUN DONG  TING YU  FENGDI LI  LIXIA WU  YUHONG ZHAO  TIANXUE XU  GUIQUAN WANG  HE JIANG  HONG BAO,China,en,CN,LIXIA WU [CN]  LIXIA WU  YUHONG ZHAO  TING YU,40537121,recombinant rubella virus e protein uses thereof
CN110812532A,Method for constructing tissue engineering support for restoring spinal cord injury through targeted promoting of connection of corticospinal tracts,21/02/2020,ZENG YUANSHAN  MA YUANHUAN  ZENG XIANG,China,en,CN,UNIV SUN YAT SEN,69547908,method constructing tissue engineering support restoring spinal cord injury targeted promoting connection corticospinal tracts
CN117363588A,Preparation method and application of recombinant bluetongue virus for expressing tetracysteine tag,09/01/2024,DU JUNZHENG  TIAN ZHANCHENG  GUAN GUIQUAN  CHANG HUIYUN  LUO JIANXUN  YIN HONG,China,en,CN,LANZHOU VETERINARY RES INST CAAS,86091194,preparation method application recombinant bluetongue virus expressing tetracysteine tag
EP0385394A2  EP0385394A3,Polyhedrin gene and genetic engineering thereof.,1990-09-05  1991-05-22,YAMADA NOBUTOSHI [JP]  MATSUO NORIFUSA [JP]  ARAKI TAKAAKI [JP],European Patent Office (EPO),en,EP,RES ASS BIOTECH AGRICULT CHEM [JP],12755615,polyhedrin gene genetic engineering thereof
CN115920006A  CN115920006B,Application of ABCF1 or agonist thereof in preparation of anti-DNA virus preparation,2023-04-07  2023-09-05,MA CHUNHONG  WU ZHUANCHANG  REN CAIYUE  GAO LIFEN  LIANG XIAOHONG  SUN YANG  LI CHUNYANG  YUE XUETIAN  ZHANG ZHAOYING  FU ZHENDONG  ZHANG YANKUN,China,en,CN,UNIV SHANDONG,86551286,application abcf agonist thereof preparation antidna virus preparation
CN115885036A,Increased virus transduction efficiency,31/03/2023,MOORE NICHOLAS  FAGGIN FABIO,China,en,CN,MILLENNIUM PHARM INC,75660369,increased virus transduction efficiency
EP0473210A2  EP0473210A3  EP0473210B1,Recombinant Marek's disease virus.,1992-03-04  1992-06-10  1994-04-13,MORGAN ROBIN WILSON [US],European Patent Office (EPO),en,EP,AKZO NV [NL],24234797,recombinant mareks disease virus
CN116478302A,Variant pseudorabies virus gBgCgD epitope concatemer fusion protein and application thereof,25/07/2023,WU XUEMIN  CHEN RUJING  WANG LONGBAI  ZHOU LUNJIANG  CHEN QIUYONG  CHE YONGLIANG  YAN SHAN,China,en,CN,INST ANIMAL HUSBANDRY & VETERINARY FUJIAN ACADEMY OF AGRICULTURAL SCIENCES,87218942,variant pseudorabies virus gbgcgd epitope concatemer fusion protein application thereof
CN114456261A  CN114456261B,Anti-SARS-COV-2 virus S protein RBD structural domain nano antibody and application thereof,2022-05-10  2023-07-07,LUO SHAOXIANG  GAO XIA  YANG XU,China,en,CN,WUHAN HUAI BIOENGINEERING CO LTD,81410002,antisarscov virus protein rbd structural domain nano antibody application thereof
US5578473A,Recombinant negative strand RNA virus,26/11/1996,PALESE PETER [US]  PARVIN JEFFREY D [US]  KRYSTAL MARK [US],United States of America,it,US,AVIRON INC [US],27410354,recombinant negative strand rna virus
RU2764021C1,METHOD FOR DETECTING SARS-CoV-2 VIRUS RNA IN ULTRA-LOW CONCENTRATIONS AND SPECIFIC OLIGONUCLEOTIDES FOR USE IN THE METHOD,12/01/2022,TIUMENTSEV ALEKSANDR IGOREVICH [RU]  TIUMENTSEVA MARINA ALEKSEEVNA [RU]  PRELOVSKAIA ANNA NIKOLAEVNA [RU]  AKIMKIN VASILII GENNADEVICH [RU],Russia,de,RU,FEDERALNOE BIUDZHETNOE UCHREZHDENIE NAUKI «TSENTRALNYI NAUCHNO ISSLEDOVATELSKII INST EPIDEMIOLOGII» [RU],80040260,method detecting sarscov virus rna ultralow concentrations specific oligonucleotides use method
CN1331286A,Expression insynergistic protein in prokaryotic organism and its application,16/01/2002,MENG XIAOLIN [CN]  XU JINPING [CN],China,en,CN,UNIV WUHAN [CN],4584311,expression insynergistic protein prokaryotic organism application
