Document_ID,Date_Publish,Inventor,Title,PayPatent,Patent_Language,Description
US 9931414 B2,2/29/2024,Zhang; Yupeng et al.,"['Water', 'purifier', 'apparatus']",United States,ro,water purifier apparatus
US 9931198 B2,2/29/2024,Zhang; Yunjia et al.,"['WATER', 'PURIFIER', 'AND', 'WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purifier and water purification system
US 9931171 B1,2/29/2024,Zhang; Yunhai et al.,"['WATER', 'PURIFIER', 'AND', 'SUPPLY', 'IN', 'A', 'VEHICLE']",United States,en,water purifier supply vehicle
US 9931031 B2,2/29/2024,Zhang; Yunfu et al.,"['Water', 'purifier', 'method']",United States,en,water purifier method making using
US 9930858 B1,2/29/2024,Zhang; Yun et al.,"['WATER', 'PURIFIER', 'AND', 'CONTROL', 'METHOD', 'THE', 'SAME']",United States,en,water purifier control method
US 9930857 B1,2/29/2024,Zhang; Yuhua George et al.,"['WATER', 'PURIFIER', 'AND', 'CONTROL', 'METHOD', 'OF', 'SAME']",United States,en,water purifier control method
US 9930856 B1,2/29/2024,Zhang; Yuhua George et al.,"['Water', 'purifier']",United States,en,water purifier
US 9930855 B1,2/29/2024,Zhang; Yuhua George et al.,"['Water', 'purifier']",United States,en,water purifier
US 9930854 B1,2/29/2024,Zhang; Yugen et al.,"['Water', 'purifier']",United States,en,water purifier
US 9930853 B1,2/29/2024,Zhang; Yugen et al.,"['Water', 'purifier']",United States,en,water purifier
US 9930852 B1,2/29/2024,Zhang; Yuepeng et al.,"['Water', 'purifier']",United States,en,water purifier
US 9930851 B1,2/29/2024,Zhang; Yuelin et al.,"['Water', 'purifier']",United States,en,water purifier
US 9930850 B1,2/29/2024,Zhang; Yuegang et al.,"['Water', 'Purifier']",United States,de,water purifier
US 9930849 B1,2/29/2024,Zhang; Yuegang et al.,"['Water', 'Purifier']",United States,de,water purifier
US 9930848 B1,2/29/2024,Zhang; Yue et al.,"['WATER', 'PURIFIER']",United States,de,water purifier
US 9930847 B1,2/29/2024,Zhang; Yue et al.,"['WATER', 'PURIFIER']",United States,de,water purifier
US 9930846 B1,2/29/2024,Zhang; Yue et al.,"['WATER', 'PURIFIER']",United States,de,water purifier
US 9930845 B1,2/29/2024,Zhang; Yue et al.,"['WATER', 'PURIFIER']",United States,de,water purifier
US 9930813 B2,2/29/2024,Zhang; Yuanyuan et al.,"['WATER', 'PURIFIER']",United States,de,water purifier
US 9930064 B1,2/29/2024,Zhang; Yuanyuan et al.,"['Water', 'purifier']",United States,ro,water purifier
US 9929734 B2,2/29/2024,Zhang; Yuanyuan et al.,"['purification', 'ion', 'separation']",United States,en,water purification ion separation
US 9929293 B1,2/29/2024,Zhang; Yuanpeng,"['Water', 'Purification', 'Enhancement', 'Dispensing', 'Appliance']",United States,en,water purification enhancement dispensing appliance
US 9928833 B2,2/29/2024,Zhang; Yuan,"['WATER', 'PURIFICATION', 'USING', 'POROUS', 'CARBON', 'ELECTRODE']",United States,de,water purification using porous carbon electrode
US 9928827 B1,2/29/2024,Zhang; Yuan,"['Water', 'purification', 'unit', 'method']",United States,en,water purification unit method
US 9927442 B1,2/29/2024,Zhang; Yuan,"['Water', 'purification', 'unit']",United States,en,water purification unit
US 9926556 B2,2/29/2024,Zhang; Yu et al.,"['WATER', 'PURIFICATION', 'UNIT']",United States,de,water purification unit
US 9926206 B2,2/29/2024,Zhang; Yu et al.,"['WATER', 'PURIFICATION', 'SYSTEMS', 'AND', 'METHODS', 'HAVING', 'PRESSURIZED', 'DRAW', 'STREAM']",United States,de,water purification systems and methods having pressurized draw stream
US 9926194 B2,2/29/2024,Zhang; Yu et al.,"['Water', 'purification', 'systems']",United States,en,water purification systems
US 9925648 B2,2/29/2024,Zhang; Yu et al.,"['WATER', 'PURIFICATION', 'SYSTEM', 'WITH', 'AUTOMATIC', 'FLUSH', 'FLOW']",United States,de,water purification system with automatic flush flow
US 9925565 B2,2/29/2024,Zhang; Yu et al.,"['WATER', 'PURIFICATION', 'SYSTEM', 'WITH', 'ACTIVE', 'VIBRATION']",United States,de,water purification system with active vibration
US 9925559 B2,2/29/2024,Zhang; Yu et al.,"['WATER', 'PURIFICATION', 'SYSTEM', 'PLURALITY', 'OF', 'ULTRAVIOLET', 'LIGHT', 'EMITTING', 'DIODES', 'AND', 'ASSOCIATED', 'METHOD', 'OF', 'USE']",United States,de,water purification system utilizing a plurality of ultraviolet light emitting diodes and associated method of use
US 9925537 B2,2/29/2024,Zhang; Yu et al.,"['Water', 'purification', 'system', 'pairs', 'filters', 'ozone', 'contact', 'chamber']",United States,en,water purification system plural pairs filters ozone contact chamber
US 9925365 B1,2/29/2024,Zhang; Yu et al.,"['Water', 'purification', 'system', 'ultraviolet', 'radiation', 'osmosis', 'chambers']",United States,en,water purification system multi-pass ultraviolet radiation reverse osmosis chambers
US 9925282 B2,2/29/2024,Zhang; Yu et al.,"['Water', 'purification', 'system', 'heating', 'systems', 'loop', 'systems']",United States,en,water purification system heating ventilating cooling systems open loop systems
US 9925260 B2,2/29/2024,Zhang; Yu et al.,"['Water', 'purification', 'system', 'instrument']",United States,en,water purification system dental instrument
US 9925223 B2,2/29/2024,Zhang; Yu et al.,"['Water', 'purification', 'system', 'instrument']",United States,en,water purification system dental instrument
US 9925219 B2,2/29/2024,Zhang; Yu et al.,"['Water', 'purification', 'system', 'removal', 'halides']",United States,en,water purification system removal halides
US 9925144 B2,2/29/2024,Zhang; Yu et al.,"['Water', 'purification', 'system', 'process', 'water', 'source', 'use']",United States,en,water purification system process treating potable water source use
US 9924695 B1,2/29/2024,Zhang; Yu et al.,"['Water', 'purification', 'system', 'modes', 'operation']",United States,en,water purification system modes operation
US 9924694 B1,2/29/2024,Zhang; Yu-Zhong et al.,"['Water', 'purification', 'system', 'method']",United States,en,water purification system method
US 9924693 B1,2/29/2024,Zhang; Yu-Zhong,"['Water', 'purification', 'system', 'method']",United States,en,water purification system method
US 9924692 B1,2/29/2024,Zhang; Yu-Wen et al.,"['Water', 'Purification', 'System', 'Method']",United States,en,water purification system method
US 9924691 B1,2/29/2024,Zhang; Youwei,"['WATER', 'PURIFICATION', 'SYSTEM', 'AND', 'METHOD']",United States,de,water purification system and method
US 9924690 B1,2/29/2024,Zhang; Youming et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9924689 B1,2/29/2024,Zhang; Yongmin,"['Water', 'purification', 'system']",United States,en,water purification system
US 9924688 B1,2/29/2024,Zhang; Yongliang et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9924687 B1,2/29/2024,Zhang; Yonglian et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9924686 B1,2/29/2024,Zhang; Yonglian et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9924685 B1,2/29/2024,Zhang; Yonglian et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9924684 B1,2/29/2024,Zhang; Yongke et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9924683 B1,2/29/2024,Zhang; Yongke et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9924681 B1,2/29/2024,Zhang; Yongke et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9924680 B1,2/29/2024,Zhang; Yongke et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9924655 B1,2/29/2024,Zhang; Yongke et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9924652 B1,2/29/2024,Zhang; Yongkang et al.,"['Water', 'Purification', 'System']",United States,en,water purification system
US 9924643 B2,2/29/2024,Zhang; Yongkang et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9923927 B1,2/29/2024,Zhang; Yongjing et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9923921 B1,2/29/2024,Zhang; Yonghui et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9923919 B2,2/29/2024,Zhang; Yonghua et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9923916 B1,2/29/2024,Zhang; Yongchao et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9923779 B2,2/29/2024,Zhang; Yong et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9923284 B1,2/29/2024,Zhang; Yong et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9922476 B2,2/29/2024,Zhang; Yong et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9922236 B2,2/29/2024,Zhang; Yong et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9922192 B1,2/29/2024,Zhang; Yong et al.,"['Water', 'Purification', 'System']",United States,en,water purification system
US 9922074 B1,2/29/2024,Zhang; Yong et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9921978 B1,2/29/2024,Zhang; Yong et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9921884 B1,2/29/2024,Zhang; Yong et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9921585 B2,2/29/2024,Zhang; Yong et al.,"['WATER', 'PURIFICATION', 'SYSTEM']",United States,de,water purification system
US 9921383 B2,2/29/2024,Zhang; Yong et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9921307 B2,2/29/2024,Zhang; Yong et al.,"['Water', 'purification', 'system']",United States,en,water purification system
US 9921210 B2,2/29/2024,Zhang; Yong et al.,"['Water', 'purification', 'process', 'apparatus']",United States,en,water purification process apparatus
US 9920795 B2,2/29/2024,Zhang; Yong et al.,"['Water', 'purification', 'process']",United States,en,water purification process
US 9920366 B2,2/29/2024,Zhang; Yong-Yuan,"['Water', 'purification', 'process']",United States,en,water purification process
US 9920326 B1,2/29/2024,Zhang; Yiyi et al.,"['WATER', 'PURIFICATION', 'PLANT']",United States,pl,water purification plant
US 9920290 B2,2/29/2024,Zhang; Yiyi et al.,"['Water', 'purification', 'pitcher']",United States,en,water purification pitcher
US 9920130 B2,2/29/2024,Zhang; Yinhua et al.,"['Water', 'purification', 'pitcher']",United States,en,water purification pitcher
US 9919998 B2,2/29/2024,Zhang; Yinhua et al.,"['Water', 'purification', 'pitcher']",United States,en,water purification pitcher
US 9919778 B2,2/29/2024,Zhang; Yingnan et al.,"['Water', 'purification', 'methods']",United States,en,water purification methods
US 9919600 B2,2/29/2024,Zhang; Yingnan et al.,"['Water', 'purification', 'methods']",United States,en,water purification methods
US 9919555 B2,2/29/2024,Zhang; Yingnan et al.,"['Water', 'purification', 'methods']",United States,en,water purification methods
US 9919447 B2,2/29/2024,Zhang; Yingjun et al.,"['Water', 'purification', 'methods']",United States,en,water purification methods
US 9919288 B2,2/29/2024,Zhang; Yingjun et al.,"['Water', 'purification', 'methods']",United States,en,water purification methods
US 9919239 B2,2/29/2024,Zhang; Yingjun et al.,"['Water', 'purification', 'method']",United States,en,water purification method
US 9919056 B2,2/29/2024,Zhang; Yingjun et al.,"['WATER', 'PURIFICATION', 'MEANS']",United States,de,water purification means
US 9919045 B1,2/29/2024,Zhang; Yinghao et al.,"['Water', 'Purification', 'Matrix']",United States,en,water purification matrix
US 9918448 B1,2/29/2024,Zhang; Yinghao et al.,"['Water', 'purification', 'devices']",United States,en,water purification devices
US 9918447 B1,2/29/2024,Zhang; Yinghao et al.,"['WATER', 'PURIFICATION', 'DEVICE', 'BASED', 'ON', 'FILTER', 'CARTRIDGE', 'ANTI-COUNTERFEITING', 'IDENTIFICATION']",United States,en,water purification device based filter cartridge anti-counterfeiting identification
US 9918446 B1,2/29/2024,Zhang; Yinghao et al.,"['Water', 'purification', 'device', 'method']",United States,en,water purification device method
US 9918038 B2,2/29/2024,Zhang; Ying et al.,"['WATER', 'PURIFICATION', 'DEVICE', 'AND', 'FILTER', 'UNIT']",United States,de,water purification device and filter unit
US 9917852 B1,2/29/2024,Zhang; Ying et al.,"['Water', 'purification', 'device']",United States,en,water purification device
US 9917850 B2,2/29/2024,Zhang; Ying et al.,"['WATER', 'PURIFICATION', 'DEVICE']",United States,de,water purification device
US 9917545 B2,2/29/2024,Zhang; Ying et al.,"['WATER', 'PURIFICATION', 'DEVICE']",United States,de,water purification device
US 9917355 B1,2/29/2024,Zhang; Ying et al.,"['Water', 'Purification', 'Device']",United States,en,water purification device
US 9917149 B1,2/29/2024,Zhang; Ying et al.,"['Water', 'Purification', 'Device']",United States,en,water purification device
US 9917071 B1,2/29/2024,Zhang; Ying et al.,"['Water', 'Purification', 'Device']",United States,en,water purification device
US 9916754 B2,2/29/2024,Zhang; Ying et al.,"['Water', 'purification', 'device']",United States,en,water purification device
US 9916551 B1,2/29/2024,Zhang; Ying et al.,"['Water', 'Purification', 'Compositions', 'Applications', 'Same']",United States,en,water purification compositions applications
US 9916218 B2,2/29/2024,Zhang; Ying et al.,"['Water', 'purification', 'composition', 'kit', 'method']",United States,en,water purification composition kit method employing
US 9915951 B2,2/29/2024,Zhang; Ying et al.,"['Water', 'purification', 'cartridge']",United States,en,water purification cartridge
US 9915590 B1,2/29/2024,Zhang; Ying et al.,"['WATER', 'PURIFICATION', 'CARTRIDGE']",United States,en,water purification cartridge
US 9915545 B2,2/29/2024,Zhang; Ying et al.,"['WATER', 'PURIFICATION', 'CAP']",United States,en,water purification cap
US 9915506 B1,2/29/2024,Zhang; Ying et al.,"['Water', 'Purification', 'Cap']",United States,en,water purification cap
US 9914966 B1,2/29/2024,Zhang; Ying,"['Water', 'purification']",United States,en,water purification chlorinating holding aerating
US 9914958 B2,2/29/2024,Zhang; Ying,"['Water', 'purification', 'apparatus', 'process', 'ozone']",United States,it,water purification apparatus and process utilizing ozone
US 9914783 B1,2/29/2024,Zhang; Yin et al.,"['WATER', 'PURIFICATION', 'APPARATUS', 'AND', 'PROCESS', 'FOR', 'PURIFYING', 'WATER']",United States,de,water purification apparatus and process for purifying water
US 9914781 B1,2/29/2024,Zhang; Yin et al.,"['Water', 'purification', 'apparatus', 'method']",United States,en,water purification apparatus method using
US 9914777 B2,2/29/2024,Zhang; Yin et al.,"['Water', 'purification', 'apparatus', 'method', 'water']",United States,en,water purification apparatus method purifying water
US 9914754 B2,2/29/2024,Zhang; Yin Sheng,"['WATER', 'PURIFICATION', 'APPARATUS', 'AND', 'METHOD']",United States,de,water purification apparatus and method
US 9914406 B1,2/29/2024,Zhang; Yin Sheng,"['Water', 'purification', 'apparatus']",United States,it,water purification apparatus
US 9914337 B2,2/29/2024,Zhang; Yibing et al.,"['Water', 'purification', 'apparatus']",United States,en,water purification apparatus
US 9914103 B1,2/29/2024,Zhang; Yibing et al.,"['Water', 'Purification', 'Apparatus']",United States,en,water purification apparatus
US 9913450 B1,2/29/2024,Zhang; Yibing et al.,"['Water', 'Purification', 'Apparatus']",United States,en,water purification apparatus
US 9913449 B1,2/29/2024,Zhang; Yibing et al.,"['WATER', 'PURIFICATION', 'APPARATUS']",United States,de,water purification apparatus
US 9913448 B1,2/29/2024,Zhang; Yibing et al.,"['Water', 'purification', 'sterilization', 'system']",United States,en,water purification sterilization system
US 9913447 B1,2/29/2024,Zhang; Yibing et al.,"['Water', 'purification', 'softening', 'system', 'method', 'beverage', 'dispenser']",United States,en,water purification softening system method beverage dispenser
US 9913446 B1,2/29/2024,Zhang; Yibing et al.,"['Water', 'purification', 'systems']",United States,en,water purification enhancement systems
US 9913445 B1,2/29/2024,Zhang; Yi et al.,"['Water', 'Purification']",United States,en,water purification
US 9913381 B2,2/29/2024,Zhang; Yi et al.,"['WATER', 'PURIFICATION']",United States,de,water purification
US 9913127 B1,2/29/2024,Zhang; Yi et al.,"['WATER', 'PURIFICATION']",United States,de,water purification
US 9912727 B1,2/29/2024,Zhang; Yi et al.,"['Water', 'purificant']",United States,en,water purificant
US 9912692 B1,2/29/2024,Zhang; Yi et al.,"['Water', 'pump']",United States,id,water pump
US 9912681 B1,2/29/2024,Zhang; Yi et al.,"['Water', 'proof', 'coin', 'mechanism']",United States,en,water proof coin mechanism
US 9912553 B1,2/29/2024,Zhang; Yi et al.,"['Water', 'Production', 'Filtration', 'Dispensing', 'System']",United States,en,water production filtration dispensing system
US 9912475 B2,2/29/2024,Zhang; Yi et al.,"['WATER', 'PRODUCTION', 'METHOD']",United States,de,water production method
US 9912420 B1,2/29/2024,Zhang; Yi et al.,"['WATER', 'PRODUCING', 'METHOD', 'AND', 'APPARATUS', 'WITH', 'ADDITIVE', 'CONTROL', 'SYSTEM']",United States,de,water producing method and apparatus with additive control system
US 9911981 B1,2/29/2024,Zhang; Yi et al.,"['Water', 'method', 'apparatus']",United States,en,water producing method apparatus
US 9911978 B2,2/29/2024,Zhang; Yi et al.,"['WATER', 'PRODUCING', 'METHOD', 'AND', 'APPARATUS']",United States,de,water producing method and apparatus
US 9911871 B1,2/29/2024,Zhang; Yi et al.,"['Water', 'processing', 'method']",United States,en,water processing method
US 9911709 B1,2/29/2024,Zhang; Yi et al.,"['Water', 'processing', 'apparatus']",United States,en,water processing apparatus
US 9911702 B2,2/29/2024,Zhang; Yi et al.,"['WATER', 'PREPARATION', 'SYSTEM']",United States,de,water preparation system
US 9911039 B1,2/29/2024,Zhang; Yi et al.,"['Water', 'pipe']",United States,en,water pipe
US 9910986 B1,2/29/2024,Zhang; Yi et al.,"['Water', 'ozonation', 'treatment', 'apparatus']",United States,en,water ozonation treatment apparatus
US 9910442 B2,2/29/2024,Zhang; Yi et al.,"['Water', 'system']",United States,en,water ozonating system
US 9910076 B2,2/29/2024,Zhang; Yi et al.,"['WATER', 'OXIDATION', 'CATALYST', 'INCLUDING', 'LITHIUM', 'COBALT', 'GERMANATE']",United States,en,water oxidation catalyst including lithium cobalt germanate
US 9910054 B2,2/29/2024,Zhang; Yi et al.,"['Water', 'oxidation', 'catalyst', 'cobalt', 'molybdenum']",United States,en,water oxidation catalyst including cobalt molybdenum
US 9910035 B1,2/29/2024,Zhang; Yi-Heng Percival et al.,"['WATER', 'OXIDATION', 'CATALYST']",United States,en,water oxidation catalyst
US 9909987 B1,2/29/2024,Zhang; Yi,"['Water', 'outlet', 'apparatus']",United States,en,water outlet apparatus
US 9909890 B2,2/29/2024,Zhang; Yi,"['Water', 'Neck', 'LS', 'Engines']",United States,de,water neck for ls engines
US 9909549 B2,2/29/2024,Zhang; Yexin et al.,"['Water', 'Nano-Filtration', 'Device']",United States,en,water nano-filtration device
US 9909496 B2,2/29/2024,Zhang; Ye et al.,"['Water', 'Movement', 'System', 'Method', 'Controlling', 'Water', 'Breeding', 'Insect', 'Populations']",United States,en,water movement system method controlling water breeding insect populations
US 9909391 B2,2/29/2024,Zhang; Yao-Hua et al.,"['Water', 'monitoring', 'device', 'reagent', 'cartridge']",United States,en,water monitoring device replaceable reagent cartridge
US 9909369 B2,2/29/2024,Zhang; Yanxin et al.,"['WATER', 'MONITORING', 'DEVICE', 'WITH', 'REPLACEABLE', 'REAGENT', 'CARTRIDGE']",United States,de,water monitoring device with replaceable reagent cartridge
US 9909233 B1,2/29/2024,Zhang; Yanxin et al.,"['Water', 'monitoring', 'device', 'method']",United States,en,water monitoring device method
US 9909187 B2,2/29/2024,Zhang; Yanshi et al.,"['Water', 'monitoring', 'device', 'method']",United States,en,water monitoring device method
US 9909181 B2,2/29/2024,Zhang; Yanping et al.,"['Water', 'management', 'system', 'cooling', 'apparatus']",United States,en,water management system dual-air dual-water evaporative cooling apparatus
US 9909159 B2,2/29/2024,Zhang; Yanmei et al.,"['Water', 'management', 'system', 'use', 'dialysis']",United States,en,water management system use dialysis
US 9909136 B2,2/29/2024,Zhang; Yanmei,"['WATER', 'MANAGEMENT', 'SYSTEM']",United States,de,water management system
US 9909134 B2,2/29/2024,Zhang; Yanliang et al.,"['WATER', 'MANAGEMENT', 'SYSTEM']",United States,de,water management system
US 9908975 B2,2/29/2024,Zhang; Yanliang et al.,"['WATER', 'MANAGEMENT', 'SYSTEM']",United States,de,water management system
US 9908859 B2,2/29/2024,Zhang; Yanjin et al.,"['Water', 'management', 'fuel', 'cells']",United States,it,water management monopolar fuel cells
US 9908848 B2,2/29/2024,Zhang; Yang et al.,"['Water', 'management', 'cell', 'stacks']",United States,en,water management bipolar electrochemical cell stacks
US 9908559 B2,2/29/2024,Zhang; Yang et al.,"['Water', 'management', 'vehicles', 'tonneau', 'covers']",United States,en,water management vehicles tonneau covers
US 9908472 B2,2/29/2024,Zhang; Yang et al.,"['Water', 'management', 'vehicle']",United States,en,water management vehicle
US 9908464 B2,2/29/2024,Zhang; Yang,"['Water', 'bearing']",United States,en,water lubricated bearing
US 9908425 B2,2/29/2024,Zhang; Yanfeng et al.,"['Water', 'line', 'decontamination', 'system']",United States,fr,water line decontamination system
US 9908243 B2,2/29/2024,Zhang; Yanfeng et al.,"['WATER', 'LEVEL', 'GAUGE', 'WATER', 'PRESSURE', 'SENSOR', 'DEVICE', 'AND', 'WATER', 'LEVEL', 'MEASUREMENT', 'SYSTEM']",United States,de,water level gauge water pressure sensor device and water level measurement system
US 9907848 B2,2/29/2024,Zhang; Yanfeng et al.,"['Water', 'leak/water', 'flow', 'detection', 'system']",United States,en,water leak water flow detection system
US 9907812 B2,2/29/2024,Zhang; Yanfeng et al.,"['Water', 'jet', 'peening', 'apparatus']",United States,id,water jet peening apparatus
US 9907496 B1,2/29/2024,Zhang; Yanfeng et al.,"['Water', 'jet', 'treatment']",United States,en,water jet dermatological treatment
US 9907286 B1,2/29/2024,Zhang; Yanfeng et al.,"['WATER', 'JET', 'FOR', 'DERMATOLOGICAL', 'TREATMENT']",United States,en,water jet dermatological treatment
US 9907285 B1,2/29/2024,Zhang; Yanfeng et al.,"['Water', 'Ionizing', 'System']",United States,de,water ionizing system
US 9907283 B1,2/29/2024,Zhang; Yanfeng et al.,"['Water', 'ionizer', 'vibration', 'sensor', 'flow', 'housing']",United States,en,water ionizer vibration sensor sense flow electrode housing
US 9907282 B1,2/29/2024,Zhang; Yanfeng,"['Water', 'disinfectant', 'composition']",United States,en,water insoluble disinfectant composition
US 9907281 B1,2/29/2024,Zhang; Yanfeng,"['Water', 'disinfectant', 'composition']",United States,en,water insoluble disinfectant composition
US 9907280 B1,2/29/2024,Zhang; Yanfeng,"['Water', 'acid', 'compositions']",United States,en,water insoluble cross-linked acid compositions
US 9907279 B1,2/29/2024,Zhang; Yanfang et al.,"['WATER', 'INJECTION', 'IN', 'A', 'HYDRODESULFURIZATION', 'PROCESS']",United States,en,water injection hydrodesulfurization process
US 9907278 B1,2/29/2024,Zhang; Yanbo et al.,"['Water', 'injection', 'hydrodesulfurization', 'process']",United States,en,water injection hydrodesulfurization process
US 9907277 B1,2/29/2024,Zhang; Yanbin et al.,"['Water', 'oil', 'emulsions', 'liquid', 'membrane']",United States,fr,water in oil emulsions useful in liquid membrane
US 9907276 B1,2/29/2024,Zhang; Yanan,"['WATER', 'IMMISCIBLE', 'SOLVENT-IN-WATER', 'EMULSION', 'FORMULATION', 'CONTAINING', 'A', 'SULFOPOLYMER']",United States,en,water immiscible solvent-in-water emulsion formulation containing sulfopolymer
US 9907275 B1,2/29/2024,Zhang; Yan et al.,"['WATER', 'HYGIENE', 'IMPROVING', 'SYSTEM', 'AND', 'METHODS']",United States,en,water hygiene improving system methods
US 9907272 B1,2/29/2024,Zhang; Yan et al.,"['WATER', 'HEATER', 'SYSTEM', 'AND', 'CONTROL', 'METHOD', 'THEREFOR']",United States,en,water heater system control method therefor
US 9907243 B1,2/29/2024,Zhang; Yan et al.,"['WATER', 'HEATER', 'SYSTEM', 'AND', 'CONTROL', 'METHOD', 'THEREFOR']",United States,en,water heater system control method therefor
US 9906739 B2,2/29/2024,Zhang; Yan et al.,"['WATER', 'HEATER', 'SYSTEM']",United States,de,water heater system
US 9906544 B1,2/29/2024,Zhang; Yan,"['Water', 'heater']",United States,en,water heater
US 9906542 B2,2/29/2024,Zhang; Yadong,"['Water', 'Harvesting', 'Device']",United States,en,water harvesting device
US 9906525 B1,2/29/2024,Zhang; Xumu,"['Water', 'system']",United States,da,water handling system
US 9906366 B1,2/29/2024,Zhang; Xumu,"['Water', 'generator', 'flow', 'fluid']",United States,en,water generator oscillating due rapid flow fluid
US 9906360 B2,2/29/2024,Zhang; Xuexian et al.,"['Water', 'generator']",United States,de,water generator
US 9906311 B1,2/29/2024,Zhang; Xuewu et al.,"['WATER', 'GENERATION', 'SYSTEM', 'FOR', 'A', 'VEHICLE', 'THAT', 'IMPLEMENTS', 'SANITIZATION', 'BY', 'ULTRAVIOLET', 'LIGHT']",United States,en,water generation system vehicle implements sanitization ultraviolet light
US 9906068 B2,2/29/2024,Zhang; Xuemin et al.,"['WATER', 'GAS', 'SHIFT', 'PROCESS', 'FOR', 'PRODUCING', 'HYDROGEN', 'USING', 'A', 'CESIUM', 'COMPOUND', 'CATALYST']",United States,en,water gas shift process producing hydrogen using cesium compound catalyst
US 9905722 B1,2/29/2024,Zhang; Xuejun et al.,"['Water', 'gas', 'shift', 'process']",United States,en,water gas shift process
US 9905682 B2,2/29/2024,Zhang; Xuejun et al.,"['Water', 'gas', 'shift', 'catalyst']",United States,en,water gas shift catalyst
US 9904893 B2,2/29/2024,Zhang; Xuan et al.,"['WATER', 'FLUX', 'POLYMER', 'MEMBRANES']",United States,de,water flux polymer membranes
US 9904734 B2,2/29/2024,Zhang; Xu et al.,"['Water', 'rate', 'device', 'gas-water', 'mixer']",United States,en,water flow rate self-tuning device pressurized gas-water mixer
US 9904659 B1,2/29/2024,Zhang; Xu et al.,"['WATER', 'FLOW', 'CONTROL', 'ASSEMBLY']",United States,en,water flow control assembly
US 9904481 B2,2/29/2024,Zhang; Xiyun et al.,"['WATER', 'FILTRATION', 'SYSTEMS', 'AND', 'METHODS']",United States,de,water filtration systems and methods
US 9903487 B2,2/29/2024,Zhang; Xiyun et al.,"['WATER', 'FILTRATION', 'SYSTEM', 'USING', 'HYBRID', 'NANO', 'CARBON', 'SILVER', 'IRON', 'AND', 'ALUMINIUM', 'OXIDE']",United States,en,water filtration system using hybrid nano carbon silver iron aluminium oxide
US 9903270 B2,2/29/2024,Zhang; Xiyun et al.,"['WATER', 'FILTRATION', 'SYSTEM', 'AND', 'METHOD', 'OF', 'USE']",United States,de,water filtration system and method of use
US 9903117 B2,2/29/2024,Zhang; Xiyun et al.,"['Water', 'filtration', 'system', 'use']",United States,en,water filtration system use
US 9903001 B1,2/29/2024,Zhang; Xiyun et al.,"['Water', 'filtration', 'system']",United States,en,water filtration system
US 9902889 B2,2/29/2024,Zhang; Xiyun et al.,"['Water', 'Filtration', 'System']",United States,en,water filtration system
US 9902713 B2,2/29/2024,Zhang; Xiyun et al.,"['WATER', 'FILTRATION', 'SYSTEM']",United States,de,water filtration system
US 9902457 B2,2/29/2024,Zhang; Xiyun et al.,"['WATER', 'FILTRATION', 'SYSTEM']",United States,de,water filtration system
US 9902388 B2,2/29/2024,Zhang; Xixiang et al.,"['WATER', 'FILTRATION', 'SYSTEM']",United States,de,water filtration system
US 9902307 B2,2/29/2024,Zhang; Xiujun et al.,"['WATER', 'FILTRATION', 'SYSTEM']",United States,de,water filtration system
US 9902266 B2,2/29/2024,Zhang; Xinyue et al.,"['WATER', 'FILTRATION', 'SYSTEM']",United States,de,water filtration system
US 9902125 B2,2/29/2024,Zhang; Xinyuan et al.,"['WATER', 'FILTRATION', 'SYSTEM']",United States,de,water filtration system
US 9902123 B1,2/29/2024,Zhang; Xinwen et al.,"['WATER', 'FILTRATION', 'SYSTEM']",United States,de,water filtration system
US 9902103 B2,2/29/2024,Zhang; Xinwen et al.,"['WATER', 'FILTRATION', 'SYSTEM']",United States,de,water filtration system
