Numéro,Patent Number,Inventeur/org,Date de publication,country_code,country_name,description_language,Titre,Description
332,cn102274496a b,wu xiaoyan,2011-12-14,cn,china,en,"['oasia', 'type', 'foot', 'mouth', 'disease', 'virus', 'bivalent', 'genetic', 'engineering', 'polypeptide', 'vaccine', 'preparation', 'method', 'purpose']","['...the', 'invention', 'relates', 'oasia', 'type', 'foot', 'mouth', 'disease', 'virus', 'bivalent', 'genetic', 'engineering', 'polypeptide', 'vaccine', 'its...', 'connection', 'cloning', 'without', 'containing', 'carrier', 'protein', 'constructing', 'oasia', 'gene', 'engineering', 'bacteria.', 'antigen', 'protein', 'product', 'obtained...', 'adjuvant', 'form', 'oasia', 'type', 'foot', 'mouth', 'disease', 'virus', 'bivalent', 'genetic', 'engineering', 'polypeptide', 'vaccine', '...']"
333,wo2021147874a1,shanxi academy of advanced res and innovation cn,2021-07-29,wo,world intellectual property organization wipo,fr,"['virus', 'antitumoral']","['...linvention', 'concerne', 'un', 'virus', 'inhibant', 'la', 'signalisation', 'de', 'wnt', 'et', 'une', 'mthode', 'de', 'signalisation', 'de', 'wnt', '', 'laide', 'du', 'virus.', 'linvention', 'concerne', 'galement', 'une', 'mthode', 'de', 'traitement', 'de', 'tumeurs', '', 'laide', 'du', 'virus.', '...']"
334,cn101422606a,univ fudan cn,2009-05-06,cn,china,en,"['livestock', 'asia', 'type', 'foot-and-mouth', 'disease', 'virus', 'resistance', 'genetic', 'engineering', 'polypeptide', 'vaccine', 'preparation', 'method', 'thereof']","['...the', 'invention', 'belongs', 'technical', 'field', 'immunology', 'genetic', 'engineering', 'particularly', 'relates', 'livestock', 'resistant', 'asian', 'type', 'foot', 'mouth', 'disease', 'virus', 'genetic', 'engineering', 'polypeptide', 'vaccine', 'preparation', 'method', 'thereof.', 'vaccine', 'uses...', 'disease', 'virus', 'vp', 'protein', 'cell', 'epiposition', 'amino', 'acid', '1', '33', 'position', 'vp2', 'protein', '...']"
335,cn112626036a b,univ nanjing agricultural,2021-04-09,cn,china,en,"['gene-deleted', 'non-toxic', 'swinepox', 'virus', 'application', 'thereof']","['invention', 'discloses', 'gene-deleted', 'non-toxic', 'swinepox', 'virus', 'application', 'thereof', 'preparation', 'vaccines.', 'non-toxic', 'swinepox', 'virus', 'spv009', 'gene-deleted', 'virus', 'wild', 'swinepox', 'virus', 'nucleotide', 'sequence', 'spv009', 'gene', 'shown', 'seq', 'id', '1.', 'compared', 'prior', 'art', 'swinepox', 'virus', 'spvspv009', '...']"
336,cn116201219a,powerchina kunming eng corp ltd,2023-06-02,cn,china,en,"['drainage', 'system', 'method', 'civil', 'air', 'defense', 'construction']","['...', 'reduction.', 'civil', 'air-defense', 'engineering', 'drainage', 'system', 'drainage', 'function', 'effectively', 'intercept', 'remove', 'particle', 'silt', 'generated', 'civil', 'air-defense', 'engineering', 'drainage', 'system', 'dredge', 'explosive', 'shock', 'waves', 'generated', 'wartime', 'intercepting', 'absorbing', 'waves', 'eliminate', 'poison', 'gas', 'generated', 'wartime', 'effectively', 'isolating', 'poison', 'gas', 'internal', 'safety', 'civil', 'air-defense', 'engineering', 'guaranteed.', '...']"
337,cn116855530a,univ shenyang agricultural,2023-10-10,cn,china,en,"['application', 'target', 'gene', 'maize', 'mir159a', 'resisting', 'maize', 'chlorotic', 'mottle', 'virus']","['...the', 'invention', 'provides', 'application', 'target', 'gene', 'maize', 'mir159a', 'resisting', 'maize', 'chlorotic', 'mottle', 'virus', 'belongs', 'to...', 'participate', 'corn', 'virus', 'resistance', 'rt-qpcr', 'western', 'blot', 'experimental', 'analysis', 'show', 'down-regulated', 'expression', 'zmmyb138...', 'mcmv', 'zmmyb138', 'zmmyb74', 'zmccoaomt1', 'genes', 'resistance', 'genes', 'corn', 'chlorotic', 'mottle', 'virus', '...']"
338,us11718833b2 a1,lonza walkersville inc us,2023-08-08,us,united states of america,en,"['automated', 'production', 'viral', 'vectors']","['...', 'fully-enclosed', 'cell', 'engineering', 'system.', 'exemplary', 'viral', 'vectors', 'produced', 'include', 'lentivirus', 'vectors', 'adeno-associated', 'virus', 'vectors', 'baculovirus', 'vectors', 'retrovirus', 'vectors.']"
339,cn1482242a,chengdu yanghui biotechnology cn,2004-03-17,cn,china,en,"['anti-enveloped', 'virus', 'recombinant', 'polypeptide', 'preparation', 'method']","['...the', 'present', 'invention', 'relates', 'one', 'kind', 'enveloped', 'virus', 'resisting', 'polypeptide', 'encoding', 'nucleotide', 'amino', 'acid', 'sequence...', 'combined', 'specifically', 'target', 'virus', 'envelope', 'antigen', 'form', 'engineering', 'polypeptide.', 'inside', 'engineering', 'polypeptide', 'scfv', 'antigen', 'combining...', 'envelope', 'destroy', 'completeness', 'envelope', 'leak', 'expose', 'virus', 'rna', 'kill', 'virosome.', 'antiviral', 'engineering', '...']"
340,cn116731204a,jingzhou changxin biotechnology co ltd,2023-09-12,cn,china,en,"['chicken', 'infectious', 'anemia', 'virus', 'genetic', 'engineering', 'subunit', 'vaccine', 'well', 'preparation', 'application', 'thereof']","['...the', 'invention', 'discloses', 'chicken', 'infectious', 'anemia', 'virus', 'genetic', 'engineering', 'subunit', 'vaccine', 'preparation', 'application', 'thereof', 'vaccine', 'comprises...', 'chicken', 'infectious', 'anemia', 'virus', 'vp1', 'whole', 'gene', 'expressed', 'escherichia', 'coli', 'expression', 'system', 'vaccination', 'immune...', 'offspring', 'chickens', 'immune', 'breeding', 'hens', 'inoculated', 'vaccine', 'chicken', 'infectious', 'anemia', 'virus', '...']"
341,cn1796417a,virus prevention and control s,2006-07-05,cn,china,en,"['technique', 'purifying', 'engineering', 'fusion', 'antigen', 'containing', 'main', 'protein', 'previous', 'si', 'large', 'protein', 'hepatitis', 'b', 'surface', 'gene']","['invention', 'establishes', 'purification', 'technique', 'hepatitis', 'b', 'surface', 'fusion', 'antigen', 'comes', 'cho-dhfr-expression', 'mammalian', 'cells', 'comprises', 'pre-s1.', 'technique', 'original', 'liquid', 'cell', 'culture', 'undergoes', 'ion-exchange', 'column', 'chromatography', 'hydrophobic', 'column', 'chromatography', 'molecular', 'sieve', 'chromatography', 'turn.', 'great', 'advantages', 'technique', 'high', 'recovery', 'yield', 'purity', 'hepatitis', 'b', 'surface', 'antigen', 'pre-s', 'achieved', 'biological', 'activities', 'well', 'maintained', 'antigen', 'proteins', 'qualified', 'requirements', 'hepatitis', 'b', 'vaccine', 'semi-manufactured', 'products.']"
342,cn101028382a,wuhan virus inst chinese acade,2007-09-05,cn,china,en,"['natural', 'extract', 'inhibiting', 'hepatitis', 'b', 'virus', 'main', 'active', 'ingredients']","['natural', 'extract', 'suppressing', 'hepatitis', 'b', 'virus', 'hbv', 'prepared', 'green', 'tea', 'extracting.', 'features', 'that...']"
343,cn103421729a b,univ huazhong agricultural,2013-12-04,cn,china,en,"['gene', 'recombined', 'swine', 'cholera', 'salmonella', 'choleraesuis', 'vaccine', 'blue-ear', 'disease', 'application', 'thereof']","['...', '', 'belongs', 'technical', 'field', 'animal', 'bacteria', 'genetic', 'engineering', 'particularly', 'relates', 'construction', 'recombined', 'swine', 'cholera', 'salmonella', 'choloraesuis', 'without', 'resistance', 'maker', 'used', 'expressing', 'main', 'immunogenicity', 'membrane', 'protein', 'porcine', 'reproductive', 'respiratory', 'syndrome', 'virusprrsv....', 'invention', 'discloses', 'method', 'preparing', 'swine', 'cholera', 'salmonella', 'choleraesuis', 'porcine', 'reproductive', 'respiratory', 'syndrome', 'virus', '...']"
344,cn116870014a b,beijing neurosurgical inst,2023-10-13,cn,china,en,"['application', 'peimine', 'preparation', 'oncolytic', 'virus', 'anti-tumor', 'synergist', 'composition', 'containing', 'peimine']","['invention', 'discloses', 'application', 'peimine', 'preparation', 'oncolytic', 'virus', 'anti-tumor', 'synergist', 'composition', 'containing', 'peimine.', 'peimine', 'enhance', 'killing', 'effect', 'oncolytic', 'virus', 'especially', 'oncolytic', 'virus', 'ohsv-1', 'glioma', 'cells', 'especially', 'peimine', 'also', 'enhance', 'killing', 'effect', 'oncolytic', 'virus', 'glioma', 'cells', '...']"
345,cn105399802a b,lanzhou veterinary res inst caas,2016-03-16,cn,china,en,"['type', 'foot-and-mouth', 'disease', 'genetic', 'engineering', 'multi-epitope', 'protein', 'vaccine']","['...the', 'invention', 'provides', 'type', 'foot-and-mouth', 'disease', 'genetic', 'engineering', 'multi-epitope', 'protein', 'characterized', 'that...', 'also', 'provides', 'vaccine', 'containing', 'type', 'foot-and-mouth', 'disease', 'genetic', 'engineering', 'multi-epitope', 'protein.', 'immunizing', 'animals', 'vaccine', 'provided', 'invention', 'one', 'week', 'type', 'foot-and-mouth', 'disease', 'virus', 'specific', 'antibody', '...']"
346,cn1384189a,wandefu gene engineering co lt,2002-12-11,cn,china,en,"['construction', 'genetically', 'engineered', 'bollworm', 'synergy', 'protein', 'strain', 'synergistic', 'protein', 'expression']","['...the', 'present', 'invention', 'discloses', 'genetically', 'engineered', 'method', 'constructing', 'engineering', 'strain', 'cctcc', 'no.m201010', 'escherichia', 'coli', 'm15peha', 'and...', 'converting', 'e.coli', 'm15peha.', 'recombinant', 'vector', 'pqeha', 'carried', 'engineering', 'strain', 'contains', 'hagv', 'synergy', 'protein', 'gene', 'express', 'hagv', 'synergy', 'protein', 'high', 'efficiency.', '...']"
347,us2024060085a1,geg tech fr,2024-02-22,us,united states of america,en,"['transient', 'expression', 'system', 'rna', 'gene', 'editing']","['method', 'therapeutic', 'treatment', 'genome', 'engineering', 'subject', 'need', 'thereof', 'includes', 'administering', 'subject...']"
348,cn103740735a b,li yuexi,2014-04-23,cn,china,en,"['gene', 'segment', 'extracellular', 'region', 'chemosynthetic', 'hsv2', 'herpes', 'simplex', 'virus', 'type', '2', 'virus', 'gc', 'glycoprotein', 'well', 'expression', 'application', 'gene', 'segment']","['...the', 'invention', 'discloses', 'gene', 'segment', 'extracellular', 'region', 'chemosynthetic', 'hsv2', 'herpes', 'simplex', 'virus', 'type', '2', 'virus', 'gc', 'glycoprotein...', 'epitope', 'segment', 'hsv2', 'virus', 'gc', 'glycoprotein', 'expressed', 'strong', 'antigen', 'epitope', 'segment', 'hsv2', 'virus', 'gc', 'glycoprotein', 'applicable', 'development', 'hsv2', 'vaccines', 'detection', 'hsv2', 'virus', 'antibodies', 'immune', 'preparation', 'monoclonal', 'antibodies', 'polyclonal', 'antibodies', 'resisting', 'hsv2', 'virus.', '...']"
349,cn1087746c a,univ zhejiang cn,2002-07-17,cn,china,en,"['method', 'preparing', 'medicine', 'using', 'silkworm', 'expressed', 'recombined', 'human', 'erythropoietin']","['present', 'invention', 'relates', 'gene', 'engineering', 'technology', 'produce', 'polypeptide', 'medicine.', 'silkworm', 'larva', 'chrysalis', 'moth', 'used', 'biological', 'reactor', 'recombined', 'silkworm', 'caryo-type', 'polyhedron', 'virus', 'human', 'erythropoietin', 'gene', 'obtained', 'recombination', 'expression', 'system', 'said', 'virus', 'silkworm', 'cell', 'inoculated', 'silkworm', 'chrysalis', 'moth', 'expression', '...']"
350,cn101919409a b,univ northwest af,2010-12-22,cn,china,en,"['composite', 'insect', 'virus', 'synergist', 'preparation', 'method', 'thereof']","['...the', 'invention', 'discloses', 'composite', 'insect', 'virus', 'synergist', 'comprises', 'following', 'components', 'percentage', 'volume', '2', '8...', 'engineering', 'strain', 'inducing', 'expression', 'toxin', 'protein', 'collecting', 'expressed', 'toxin', 'protein', 'preparing', 'aqueous', 'solution', 'active', 'toxin', 'protein', 'mixing', 'components', 'obtain', 'composite', 'insect', 'virus', 'synergist.', 'composite', 'insect', 'virus', 'synergist', 'preparation', 'method', 'thereof', '...']"
351,cn100475963c a,harbin vet res inst caas cn,2009-04-08,cn,china,en,"['chicken', 'infectivity', 'bursa', 'fabricius', 'virus', 'vp2', 'cdna', 'expression', 'vector', 'expressed', 'recombinant', 'protein', 'application', 'thereof']","['...', 'carrier', 'expressed', 'recombined', 'vp2', 'protein', 'application', 'said', 'recombined', 'protein', 'preparing', 'subunit', 'genetic', 'engineering', 'vaccine', 'chicken', 'infection', 'bursal', 'disease', 'virus.', 'chicken', 'infectious', 'bursal', 'disease', 'virusvp', '2c', 'dna', 'highly', 'expressed', 'yeast', 'cell', 'expressed', 'recombined', 'protein', 'possesses', 'biological', 'activity', 'immunogenicity', 'chicken', 'infectious', 'bursal', 'disease', 'virus', 'natural', 'protein', '.', 'expressed', 'recombined', '...']"
352,cn1313385a,li yubo cn,2001-09-19,cn,china,en,"['process', 'preparing', 'genetically', 'engineered', 'efficient', 'medicine', 'target-introduced', 'human', 'liver', 'cells']","['...', 'object', 'gene', 'open', 'reading', 'frame', 'tether', 'area', 'polgene', 'incloned', 'human', 'hepatitis', 'b', 'virus', 'genom', 'biologically', 'recombining', 'gene...', 'cloning', 'virus', 'gene', 'expression', 'carrier', 'plasmid', 'transfection', 'hep', 'g2', 'cell', 'human', 'liver', 'cancer', 'cell', 'syste', 'collecting', 'recombined', 'human', 'hepatitis', 'b', 'virus', 'particles', 'containing', 'object', 'gene', 'supernatant.', 'used', '...']"
353,cn217909676u,henan tongji arch design co ltd,2022-11-29,cn,china,en,"['anti-poison', 'channel', 'structure', 'civil', 'air', 'defense', 'engineering', 'safety']","['utility', 'model', 'discloses', 'anti-poison', 'channel', 'structure', 'civil', 'air', 'defense', 'construction', 'safety', 'comprises', 'exhaust', 'mechanism', 'exhausting', 'poison', 'gas', 'channel', 'body', 'first', 'purification', 'mechanisms', 'primarily', 'purifying', 'poison', 'gas', 'first', 'purification', 'mechanisms', 'mounted', 'two', 'sides', 'exhaust', 'mechanism.', 'arrangement', 'second', 'purification', 'mechanism', 'preliminarily', 'purified', 'poison', 'gas', 'enters', 'liquid', 'storage', 'tank', 'along', 'gas', 'conveying', 'pipe', 'poison', 'gas', 'discharged', 'gas', 'conveying', 'pipe', 'makes', 'contact', 'purification', 'liquid', 'liquid', 'storage', 'tank', 'purification', 'liquid', 'conducts', 'secondary', 'purification', 'poison', 'gas', 'purified', 'poison', 'gas', 'discharged', 'exhaust', 'pipe', 'contact', 'time', 'poison', 'gas', 'purification', 'liquid', 'prolonged', 'arrangement', 'plurality', 'partition', 'plates', 'toxic', 'gas', 'purification', 'effect', 'effectively', 'improved', 'guaranteed', 'external', 'environment', 'affected', 'purification', 'liquid', 'needs', 'replaced', 'valve', 'opened', 'purification', 'liquid', 'discharged', 'liquid', 'discharging', 'pipe', 'valve', 'closed', 'purification', 'liquid', 'emptied', 'purification', 'liquid', 'added', 'liquid', 'storage', 'tank', 'exhaust', 'pipe.']"
354,cn101308137a b,guangdong ct for disease contr cn,2008-11-19,cn,china,en,"['dengue', 'virus', 'igg', 'antibody', 'elisa', 'diagnostic', 'kit']","['...the', 'invention', 'relates', 'dengue', 'virus', 'antibody', 'enzyme-linked', 'immunity', 'diagnostic', 'kit.', 'kit', 'includes', 'enzyme', 'labeling', 'board...-hrp', 'envelope', 'antigen', 'enzyme', 'labeling', 'board', 'includes', 'recombinant', 'dengue', 'virus', 'type', '1', 'envelope', 'protein', 'specific', 'antigen', 'amino', 'acid', 'sequence', 'seq', 'id', 'no.1', 'recombinant', 'dengue', 'virus', 'type', '2', 'envelope', 'protein', 'specific', 'antigen', '...']"
355,ep0469348a2 a3b1,shionogi  co jp,1992-02-05,ep,european patent office epo,en,"['squence', 'cadn', 'et', 'dtection', 'du', 'virus', 'de', 'lhpatite', 'c.']","['sera', 'excised', 'livers', 'hcv-antibody', 'positive', 'patients', 'cdna', 'derived', 'hepatitis', 'c', 'virus', 'isolated', 'sequenced.', 'also', 'basis', 'sequence', 'determined', 'method', 'detection', 'hepatitis', 'c', 'virus', 'pcr', 'technique', 'established.', 'according', 'isolation', 'sequencing', 'hepatitis', 'c', 'virus', 'cdna', 'became', 'possible', 'achieve', '...']"
356,cn100566752c a,univ sun yat sen cn,2009-12-09,cn,china,zh-cn,"['fishes', 'infectious', 'spleen', 'kidney', 'necrosis', 'virus', 'gene', 'engineering', 'vaccine', 'preparation', 'method', 'thereof']",['protein24protein50isknv2orf24orf50dna']
357,cn116103446a,lanzhou veterinary res inst caas,2023-05-12,cn,china,en,"['application', 'nep', 'target', 'spot', 'inhibition', 'porcine', 'epidemic', 'diarrhea', 'virus', 'infection', 'vaccine', 'production']","['...the', 'invention', 'belongs', 'field', 'gene', 'engineering', 'particularly', 'relates', 'application', 'nep', 'target', 'spot', 'inhibition', 'porcine', 'epidemic', 'diarrhea', 'virus', 'infection', 'vaccine', 'production.', 'invention', 'firstly', 'finds', 'knockout', 'the...', 'nep', 'proteinmme', 'gene', 'used', 'pedv', 'porcine', 'epidemic', 'diarrhea', 'virus', 'pedv', 'vaccine', 'production', 'cell', 'line', 'production', 'pedv', 'pedv', 'vaccines.', '...']"
358,cn101337990a b,microbe epidemic disease inst cn,2009-01-07,cn,china,en,"['humanized', 'neutralizing', 'antibody', 'rabies', 'virus', 'method', 'preparing', 'use']","['...the', 'invention', 'discloses', 'human', 'anti-rabies', 'virus', 'neutralizing', 'antibody', 'well', 'preparation', 'method', 'application', 'thereof...', 'toxic', 'side', 'effects', 'suits', 'prevention', 'emergency', 'treatment', 'rabies', 'well', 'detection', 'rabies', 'virus', 'excellent', 'application', 'prospect.', '...']"
359,cn215211444u,sichuan jiant civil air defense eng equipment co ltd,2021-12-17,cn,china,en,"['anti-poison', 'anti-explosion', 'floor', 'drain', 'civil', 'air', 'defense', 'engineering']","['anti-poison', 'anti-explosion', 'floor', 'drain', 'comprises', 'floor', 'drain', 'cylinder', 'drain', 'cover', 'water', 'inlet', 'formed', 'top', 'end', 'floor', 'drain', 'cylinder', 'water', 'outlet', 'formed', 'bottom', 'end', 'floor', 'drain', 'cylinder', 'floor', 'drain', 'barrel', 'internally', 'comprises', 'first', 'cavity', 'second', 'cavity', 'third', 'cavity', 'top', 'bottom', 'inner', 'diameters', 'first', 'cavity', 'second', 'cavity', 'third', 'cavity', 'sequentially', 'reduced', 'plurality', 'first', 'clamping', 'blocks', 'arranged', 'top', 'end', 'first', 'cavity', 'circumferential', 'direction', 'plurality', 'second', 'clamping', 'blocks', 'arranged', 'middle', 'first', 'cavity', 'circumferential', 'direction', 'first', 'clamping', 'grooves', 'formed', 'first', 'clamping', 'blocks', 'second', 'clamping', 'blocks.', 'second', 'clamping', 'groove', 'formed', 'second', 'clamping', 'block', 'bottom', 'wall', 'first', 'cavity', 'annular', 'water', 'baffle', 'arranged', 'inner', 'end', 'second', 'cavity', 'water', 'storage', 'tank', 'formed', 'water', 'baffle', 'outer', 'side', 'wall', 'second', 'cavity', 'water', 'outlet', 'channel', 'communicated', 'water', 'outlet', 'formed', 'inner', 'end', 'water', 'baffle.', 'arranging', 'water', 'storage', 'tank', 'water', 'stored', 'water', 'storage', 'tank', 'gas', 'circulation', 'indoor', 'space', 'water', 'drainage', 'pipe', 'cut', 'odor', 'water', 'drainage', 'pipe', 'prevented', 'flowing', 'indoor', 'space', 'cause', 'peculiar', 'smell', 'indoor', 'space', 'poison', 'gas', 'water', 'drainage', 'pipe', 'prevented', 'flowing', 'indoor', 'space', 'cause', 'life', 'safety', 'people.']"
360,ep0636172a1 a4b1,sinai school medicine us,1995-02-01,ep,european patent office epo,fr,"['virus', 'attenues', 'par', 'genie', 'genetique.']","['aucun', 'abrg', 'disponible']"
361,ru2719013c1,federalnoe gosudarstvennoe byudzhetnoe obrazovatelnoe uchrezhdenie vysshego obrazovaniya moskovskij ru,2020-04-16,ru,russia,en,"['genetic', 'engineering', 'structure', 'stimulating', 'post-traumatic', 'regeneration', 'peripheral', 'nerves']","['...', 'hepatitis', 'c', 'virus', 'ribosome.', 'application', 'genetic', 'engineering', 'structure', 'gene', 'therapy', 'agent', 'peripheral', 'nerves', 'injuries', 'proposed.', 'also', 'presented', 'dosage', 'form', 'containing', 'genetic', 'engineering', 'structure', 'active', '...']"
362,us2005170336a1 b2,massachusetts inst technology,2005-08-04,us,united states of america,en,"['multifunctional', 'biomaterials', 'scaffolds', 'electronic', 'optical', 'magnetic', 'semiconducting', 'biotechnological', 'applications']","['...', 'ends', 'virus', 'piii', 'pix', 'fusions.', 'stoichiometic', 'addition', 'streptavidin-ninta', 'linker', 'molecule', 'led', 'reversible', 'formation', 'virus-based', 'nanorings', 'circumferences', 'corresponding', 'lengths', 'packagable', 'dnas.', 'virus-based', 'ring', 'structures', '...']"
363,cn101221177a b,yicai ma cn,2008-07-16,cn,china,en,"['portable', 'fast', 'joint', 'inspection', 'device', 'foetus', 'teratogenic', 'disease']","['...', 'herpes', 'simplex', 'virus', 'hsv', 'detection', 'test', 'paper', 'strip', 'rubella', 'virus', 'rv', 'detection', 'test', 'paper', 'strip', 'toxoplasma...']"
364,cn101015569a,univ zhejiang cn,2007-08-15,cn,china,en,"['silkworm', 'powder', 'expressing', 'sod', 'preparing', 'method', 'thereof']","['...', 'comprises', '1', 'constructing', 'silkworm', 'recombinant', 'virus', 'rbacmidbmnpvsod', 'containing', 'gene', 'sod', 'recombinant', 'virus', 'rbmphbacmidbmnpvsod', 'containing', 'polyhedrin', '2', 'stab', 'inoculating', 'silkworm', 'larvae', 'silkworm', 'recombinant', 'virus', '3', 'breeding', '96h', 'freeze', 'drying', 'powder.', 'test', '...']"
365,wo9802549a1,univ leiden nl,1998-01-22,wo,world intellectual property organization wipo,fr,"['vecteur', 'dadn', 'recombine', 'contenant', 'des', 'sequences', 'du', 'virus', 'equine', 'arteritis', 'genomique']","['...', 'gnome', 'du', 'virus', 'equine', 'arteritis.', 'le', 'vecteur', 'dadn', 'recombin', 'conforme', '', 'linvention', 'stable', 'dans', 'une', 'cellule', 'hte', 'du', 'vecteur', 'produit', 'aprs', 'transcription', 'un', 'arn', 'infectieux.', 'grce', '', 'linvention', 'lobtention', 'par', 'gnie', 'gntique', 'du', 'virus', 'est', 'de', 'beaucoup', 'simplifie.', 'ledit', 'virus', 'peut', 'tre', 'utilis', 'notamment', 'pour', 'la', 'prparation', 'de', 'compositions', 'pharmaceutiques.', 'obtention', 'de', 'licence', 'possible.', '...']"
366,cn102241770a b,guangzhou inst biomed  health,2011-11-16,cn,china,en,"['influenza', 'virus', 'm2-targeted', 'ion', 'channel', 'protein', 'vhh', 'vibrio', 'harveyi', 'haemolysin', 'gene', 'engineering', 'antibody', 'coding', 'gene', 'application', 'thereof', 'preparation', 'anti-influenza-virus', 'drug']","['...the', 'invention', 'discloses', 'influenza', 'virus', 'm2-targeted', 'ion', 'channel', 'protein', 'vhh', 'vibrio', 'harveyi', 'haemolysin', 'gene', 'engineering', 'antibody', 'a...', 'gene', 'engineering', 'antibody', 'shown', 'seq', 'id', 'no.1', 'coding', 'gene', 'sequence', 'vhh', 'gene', 'engineering...', 'influenza', 'virus', 'natural', 'state', 'inhibition', 'effect', 'influenza', 'virus', 'm2', 'wild', 'type', 'amantadine', '...']"
367,ep0566554a2 a3b1,monsanto co us,1993-10-20,ep,european patent office epo,en,"['production', 'de', 'protines', 'rcombinantes', 'en', 'utilisant', 'des', 'promoteurs', 'du', 'virus', 'herpes', 'et', 'des', 'transactivateurs', 'vp16.']","['...', 'virus', 'transactivator', 'promoter', 'herpes', 'simplex', 'virus', 'target', 'vp16.', 'transactivator', 'promoter', 'are...']"
368,ep0918793a1 b1,vollenbroich dirk de,1999-06-02,ep,european patent office epo,fr,"['procede', 'dinactivation', 'de', 'virus', 'enveloppe', 'lipidique', 'et', 'nouveaux', 'lipopeptides', 'antiviraux']","['aucun', 'abrg', 'disponible']"
369,cn108753801a b,univ nanjing agricultural,2018-11-06,cn,china,en,"['soybean', 'mosaic', 'virus', 'sequence', 'capable', 'inhibiting', 'growth', 'agrobacteria', 'application', 'soybean', 'mosaic', 'virus', 'sequence']","['...the', 'invention', 'discloses', 'soybean', 'mosaic', 'virus', 'sequence', 'capable', 'inhibiting', 'growth', 'agrobacteria', 'proves', 'sequence', 'can...', 'mosaic', 'virus', 'strain', 'sc15', 'characteristic', 'inhibiting', 'growth', 'agrobacteria', 'strains', 'sc3', 'sc7', 'effect', 'virus', 'sequence', 'truncation', 'experiments', 'sequence', 'sc15p', 'associated', 'growth', 'inhibition', 'agrobacteria', '...']"
370,ca2364536a1,november ag molekulare medizin de,2000-10-19,ca,canada,en,"['fragments', 'de', 'la', 'proteine', 'virale', '2', 'ou', '3', 'du', 'virus', 'du', 'polyome', 'servant', 'au', 'transport', 'de', 'principes', 'actifs']","['...the', 'invention', 'relates', 'synthetic', 'biologically', 'active', 'molecule', 'fixin', 'g', 'active', 'ingredient', 'virus', 'protein', '1', 'vp1', 'polyoma', 'virus.', 'according', 'invention', 'amino', 'acid', 'sequence', 'a1', 'derived', 'c-terminal', 'end', 'virus', 'protein', '2', 'vp2', '3', 'vp3', 'polyoma', 'virus', 'bonded', 'active', 'ingredient', 'one', 'ends.', '...']"
371,cn107881112a,harbin hanbang medical science and tech co ltd,2018-04-06,cn,china,en,"['storage', 'method', 'transgenic', 'swine', 'hepatitis', 'e', 'virus', 'engineered', 'microorganisms']","['invention', 'discloses', 'storage', 'method', 'transgenic', 'swine', 'hepatitis', 'e', 'virus', 'engineered', 'microorganisms', 'relates', 'technical', 'field', 'transgenic', 'engineering.', 'according', 'storage', 'methodof', 'transgenic', 'swine', 'hepatitis', 'e', 'virus', 'engineered', 'microorganisms', 'normal', 'saline', 'contains', '...']"
372,cn109577729a,shenzhen green gold air defense eng co ltd,2019-04-05,cn,china,en,"['gas', 'defensepassage', 'structure', 'civil', 'air', 'defense', 'project']","['invention', 'relates', 'technical', 'field', 'gas', 'defense', 'structures', 'civil', 'air', 'defense', 'projects', 'particular', 'gas', 'defense', 'passage', 'structure', 'civil', 'air', 'defense', 'project.', 'gas', 'defense', 'passage', 'structure', 'used', 'underground', 'garage', 'civil', 'air', 'defense', 'project', 'several', 'gas', 'defense', 'passages', 'parallellyand', 'horizontally', 'pre-buried', 'wall', 'bodies', 'main', 'civil', 'air', 'defense', 'entrance', 'main', 'civil', 'air', 'defense', 'exit', 'garage', 'overpressure', 'exhaust', 'valves', 'arranged', 'gas', 'defense', 'passages', 'opposite', 'ends', 'gas', 'defense', 'passages', 'garage', 'airflow', 'passage', 'ventilating', 'pipe', 'civil', 'air', 'defense', 'project', 'bend', 'opening', 'facing', 'downward.', 'purpose', 'provide', 'gas', 'defense', 'passage', 'structure', 'civil', 'airdefense', 'project.', 'gas', 'defense', 'passage', 'structure', 'solves', 'technical', 'problem', 'prior', 'art', 'installing', 'positions', 'overpressure', 'exhaust', 'valves', 'existing', 'gas', 'defense', 'passage', 'aretoo', 'low', 'using', 'parking', 'spaces', 'influenced.']"
373,cn107881111a,harbin hanbang medical science and tech co ltd,2018-04-06,cn,china,en,"['storage', 'method', 'transgenic', 'japanese', 'encephalitis', 'virus', 'engineered', 'microorganisms', 'storage', 'reagent']","['invention', 'discloses', 'storage', 'method', 'transgenic', 'japanese', 'encephalitis', 'virus', 'engineered', 'microorganisms', 'storage', 'reagent', 'relates', 'technical', 'field', 'transgenic', 'engineering.', 'according', 'storage', 'method', 'transgenic', 'japanese', 'encephalitis', 'virus', 'engineered', 'microorganisms', 'normal', '...']"
374,cn1903372a,sichuan agriculture univ cn,2007-01-31,cn,china,en,"['three', 'gene', 'combination', 'dna', 'vaccine', 'avian', 'infectious', 'bronchitis', 'application', 'thereof']","['....', 'pibm', 'pibn', 'genes', 's1', 'm', 'n', 'infectious', 'fowls', 'bronchitis', 'virus', 'proportionally', 'combined.']"
